"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
4812.5,107.0269165,3392,0.296062887,0.212266803,0.146440387,0.244552612,104.1640625,3334,0.270159453,0.215489745,0.114676215,0.234451294,172.6839447,3978,0.379929066,0.286302954,0.219538912,0.292541504,171.8030548,3806,0.346530825,0.300715864,0.166574895,0.277099609,363.3630066,5016,0.493820667,0.405519277,0.339688212,0.43460083,366.1000061,4332,0.460886866,0.428587198,0.250883907,0.414306641,651.8826904,6139,0.555267036,0.493615717,0.432679027,0.640533447,687.3066406,4581,0.5455392,0.521706939,0.312565684,0.638977051,"",""
5125.0,108.820137,3608,0.304367423,0.222816288,0.160332382,0.236877441,105.9258194,3437,0.277161568,0.224976614,0.121475346,0.228363037,177.0254211,4206,0.383677095,0.294576496,0.232331693,0.291473389,175.2007446,3930,0.348050535,0.305820972,0.173585936,0.277862549,372.6437073,5201,0.494266421,0.410358578,0.348622888,0.440444946,374.7829895,4465,0.461273223,0.432382405,0.259690762,0.420410156,667.4238892,6445,0.551725745,0.496768594,0.442631006,0.651641846,705.1759033,4753,0.542185247,0.523433685,0.322910577,0.653427124,"",""
5437.5,110.7077408,3639,0.299419522,0.219649211,0.159103677,0.24446106,109.4493408,3472,0.271541297,0.221394941,0.12046583,0.239776611,182.4365387,4235,0.373580605,0.287548959,0.227450788,0.307723999,180.6747742,3985,0.337423325,0.296076715,0.172036916,0.295974731,383.0255127,5314,0.481212676,0.401642859,0.34457165,0.462539673,386.36026,4609,0.448981702,0.422492087,0.262247145,0.44354248,686.2999268,6675,0.540721655,0.492293447,0.442420959,0.67616272,725.37323,4905,0.533059359,0.517832279,0.327965677,0.679412842,"",""
5750.0,114.2941818,3579,0.290993482,0.213442221,0.151401207,0.259719849,112.2178192,3488,0.265291393,0.214530587,0.119805135,0.253707886,186.2117462,4262,0.365994662,0.282772779,0.223772213,0.319396973,185.0791779,4043,0.332870126,0.291974783,0.173358485,0.307449341,389.8208618,5465,0.474045217,0.399014622,0.345752567,0.473846436,395.3578186,4709,0.443769008,0.419753492,0.265038908,0.456832886,700.2681274,6903,0.534292758,0.490567297,0.44547537,0.692352295,740.5998535,5042,0.527940691,0.515075266,0.334084541,0.697387695,"",""
6062.5,116.5593033,3607,0.286855519,0.209915012,0.151104823,0.269317627,116.150322,3551,0.262280852,0.21362032,0.12098594,0.263717651,190.9936676,4348,0.361113667,0.280778825,0.224354818,0.329925537,190.1127777,4132,0.328461915,0.289554387,0.1755151,0.318450928,399.353241,5619,0.468405575,0.397482455,0.347789317,0.487304688,404.4183044,4825,0.439398855,0.41726175,0.269150883,0.470092773,717.6969604,7135,0.528854847,0.491977572,0.448544323,0.707550049,757.368042,5177,0.524443984,0.514841735,0.340098381,0.713500977,"",""
6375.0,119.1390228,3691,0.285642713,0.21082224,0.153704837,0.274093628,116.46492,3594,0.262219399,0.213630334,0.123319291,0.264419556,193.5104675,4469,0.362724721,0.284255266,0.230371088,0.330184937,192.5037384,4243,0.32975924,0.292901248,0.181369975,0.318771362,407.8474426,5770,0.468517601,0.401710451,0.353433311,0.492431641,411.9057922,4959,0.436776102,0.417759478,0.274624288,0.478225708,732.2315063,7339,0.523517847,0.491583407,0.450567096,0.722457886,771.3991699,5299,0.517344594,0.509633601,0.343005002,0.734146118,"",""
6687.5,121.1839218,3615,0.274344534,0.199203596,0.145886123,0.295059204,120.2086563,3505,0.252159625,0.202501461,0.115745403,0.287918091,197.2856598,4447,0.347974271,0.27056995,0.22095181,0.353652954,194.5800934,4194,0.31800577,0.278553426,0.174247891,0.338806152,409.0743713,5837,0.45753631,0.38925311,0.348839998,0.509719849,412.9125061,5008,0.429906845,0.407608688,0.274503112,0.491333008,726.5687256,7553,0.51884222,0.480575144,0.454647601,0.733291626,773.507019,5423,0.515927255,0.507586837,0.350151747,0.739120483,"",""
7000.0,120.523262,3672,0.272603959,0.199613914,0.146762669,0.29246521,118.0693817,3562,0.250442058,0.201093078,0.118041046,0.28477478,193.6363068,4560,0.342641473,0.268554479,0.22178106,0.349716187,191.4340973,4301,0.312875122,0.274606258,0.17672278,0.338119507,403.6003418,5968,0.450148433,0.384689182,0.348016441,0.508865356,407.3126221,5147,0.421418816,0.402130693,0.275841713,0.491271973,712.6633911,7843,0.510946333,0.474577338,0.456518561,0.728347778,753.8130493,5611,0.507245779,0.501056015,0.354760468,0.729690552,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","measurement","cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_factor",1.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
